,"Job Openings: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (10 to 49 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (50 to 249 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (250 to 999 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1,000 to 4,999 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (5,000 or more employees)","Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Trade, transportation, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)"
79,3.2,3.5,3.3,3.0,3.6,3.8,4.2,3.6,1.9,2.3,2.5,2.6,2.5,3.0,2.9,3.1,2.6,4.8,3.4,3.5,3.1,4.3,3.8,2.2,4.1,4.5,3.5,4.7,2.7,2.0,1.3,2.1,1.1,3.1
80,3.2,3.4,3.9,2.9,3.4,3.6,4.1,3.1,1.7,2.1,2.3,2.3,2.2,2.9,3.1,2.9,2.9,4.1,3.7,3.7,3.4,4.0,4.1,2.6,4.4,4.5,3.2,4.8,2.9,2.0,1.7,2.1,1.4,2.8
81,3.3,3.5,3.6,3.0,3.7,3.6,4.2,3.7,1.9,1.8,2.3,2.1,2.5,2.9,2.7,2.9,3.0,3.7,3.1,3.5,1.8,4.5,4.4,2.5,4.8,4.8,3.3,5.0,3.1,2.0,2.0,2.0,1.5,2.5
82,3.2,3.5,4.1,2.8,3.6,3.7,4.1,3.4,1.6,2.1,2.0,1.9,2.2,2.8,2.9,2.8,2.6,3.3,3.1,3.0,3.4,5.5,3.8,2.3,4.1,4.3,3.7,4.4,3.9,1.9,1.7,1.9,1.2,2.7
83,3.3,3.5,2.8,3.0,3.8,3.8,4.2,3.7,1.9,1.9,2.3,2.1,2.5,2.8,2.2,3.0,3.1,4.0,2.7,2.8,2.4,5.2,3.9,2.4,4.2,4.5,4.9,4.4,3.2,2.0,1.7,2.0,1.2,2.9
84,3.2,3.4,3.0,3.1,3.5,3.6,4.4,3.6,2.5,1.9,2.2,1.9,2.7,2.7,2.7,2.6,2.7,3.5,3.0,2.8,3.5,5.4,4.0,2.3,4.3,4.1,2.8,4.3,2.5,1.9,2.2,1.9,1.3,2.6
85,3.2,3.5,3.4,3.1,3.5,4.0,4.0,3.1,1.8,2.1,2.1,1.9,2.3,2.9,2.4,2.8,3.6,2.3,4.6,4.1,5.9,5.2,3.8,2.2,4.1,4.1,2.8,4.3,3.3,1.8,1.4,1.9,1.0,2.8
86,3.0,3.2,2.8,2.9,3.3,3.5,4.1,3.4,2.1,1.8,1.9,1.6,2.4,2.4,2.3,2.4,2.6,2.2,2.8,2.9,2.4,5.1,4.1,2.2,4.4,3.9,3.2,4.0,2.4,1.9,1.5,1.9,1.3,2.7
87,3.0,3.2,3.3,2.8,3.1,3.4,4.1,3.1,1.7,1.4,1.8,1.7,2.2,2.4,2.0,2.6,2.2,2.8,3.0,2.8,3.5,4.9,4.0,2.2,4.3,4.1,3.6,4.2,2.5,1.8,1.9,1.8,1.2,2.6
88,2.8,3.0,2.9,2.7,3.0,3.4,3.7,3.2,1.9,1.4,2.0,1.8,2.1,2.4,2.0,2.7,1.9,2.8,2.4,2.2,2.9,4.5,3.6,2.3,3.8,3.9,3.0,4.1,3.2,1.8,1.6,1.9,1.2,2.7
89,3.0,3.2,2.3,2.8,3.4,3.5,4.0,3.9,2.0,2.2,2.0,1.9,2.2,2.6,2.3,2.8,2.2,2.5,2.5,2.3,3.0,4.4,3.7,2.1,4.0,3.9,3.5,4.0,3.3,1.9,1.7,2.0,1.3,2.7
90,2.7,2.9,3.1,2.5,2.8,3.1,3.7,3.1,2.2,1.8,1.7,1.7,1.8,2.3,1.9,2.4,2.2,3.0,2.2,2.3,2.0,3.9,3.8,2.0,4.1,3.4,2.6,3.5,2.7,1.9,2.0,1.9,1.2,2.7
91,2.7,2.8,3.2,2.4,2.8,3.0,3.3,3.1,3.6,1.6,1.7,1.6,2.0,2.3,1.9,2.5,2.2,2.2,2.4,2.3,2.6,3.6,3.8,3.0,4.0,3.2,2.7,3.2,3.3,1.8,2.0,1.8,1.1,2.5
92,2.6,2.8,2.5,2.5,2.8,3.2,3.6,2.9,2.9,1.1,1.8,1.7,2.1,2.5,1.8,2.8,2.1,2.5,2.4,2.8,1.3,3.6,3.5,2.1,3.8,3.1,3.8,3.0,3.6,1.7,1.6,1.7,0.9,2.6
93,2.3,2.4,2.8,2.0,2.4,2.6,3.1,2.6,1.6,1.5,1.6,1.5,1.8,1.8,1.7,1.8,1.9,2.0,2.4,2.4,2.4,3.4,3.1,1.7,3.3,3.0,2.8,3.0,2.2,1.7,1.3,1.7,1.0,2.4
94,2.4,2.6,2.6,2.3,2.6,2.6,3.2,2.7,1.6,1.0,1.8,1.6,2.1,2.4,1.4,2.9,2.0,2.3,1.7,1.7,1.6,3.2,3.3,2.3,3.5,3.0,2.7,3.0,2.9,1.7,1.8,1.6,1.0,2.3
95,2.3,2.5,2.9,2.1,2.5,2.5,3.1,2.5,1.6,1.0,1.4,1.3,1.7,2.2,1.4,2.7,1.6,2.1,2.4,2.3,2.6,2.9,3.4,2.2,3.6,2.6,2.7,2.5,3.1,1.7,1.7,1.7,1.0,2.5
96,2.3,2.4,2.9,2.2,2.5,2.3,2.8,2.1,1.6,1.0,1.3,1.1,1.5,2.1,1.3,2.5,1.5,1.9,2.7,2.9,2.2,3.2,3.1,2.3,3.2,2.6,2.5,2.6,3.7,1.4,1.3,1.5,1.0,2.0
97,2.0,2.1,2.4,1.9,2.1,2.0,2.5,1.6,2.3,0.6,0.9,0.7,1.3,2.0,1.0,2.5,1.5,2.3,1.6,1.6,1.6,3.0,2.9,2.1,3.1,1.8,1.7,1.8,2.4,1.6,2.1,1.5,1.0,2.0
98,2.1,2.2,2.9,1.9,2.2,2.0,2.5,2.0,1.2,1.3,1.1,0.9,1.3,1.8,1.5,2.1,0.9,2.3,2.3,2.4,2.1,3.1,2.8,1.7,3.0,2.4,1.5,2.6,2.7,1.6,2.0,1.5,1.0,2.1
99,1.9,1.9,1.9,1.8,2.0,1.8,2.2,2.0,1.0,0.7,1.0,0.8,1.2,1.7,1.3,2.0,1.4,1.6,1.7,1.7,2.0,2.6,2.6,1.5,2.8,2.0,1.2,2.1,2.5,1.6,3.5,1.3,0.8,1.8
100,1.7,1.7,1.6,1.6,1.8,1.8,2.1,2.0,1.1,0.4,0.7,0.6,1.0,1.3,1.0,1.5,1.3,1.2,1.3,1.3,1.3,2.6,2.6,1.5,2.8,2.0,1.3,2.2,2.1,1.6,1.7,1.5,0.8,2.3
101,1.9,2.0,1.9,1.9,2.2,2.0,2.4,1.8,1.3,0.7,0.8,0.7,0.9,2.1,1.2,2.7,1.5,1.3,2.1,2.2,1.6,2.6,2.6,1.3,2.9,2.2,1.4,2.3,2.0,1.2,0.9,1.2,0.8,1.7
102,1.9,2.0,1.6,2.1,1.9,2.0,2.2,1.9,0.7,1.0,0.8,0.6,1.2,1.8,1.4,2.0,1.4,1.6,1.9,2.0,1.5,2.4,2.6,1.8,2.8,2.1,1.0,2.3,2.8,1.4,1.6,1.4,0.9,1.9
103,1.7,1.8,1.3,1.7,1.8,2.0,2.3,1.9,0.5,0.7,0.8,0.6,1.1,1.2,1.1,1.3,0.9,1.4,1.5,1.4,1.6,2.7,2.6,1.3,2.9,1.9,1.8,2.0,2.0,1.3,1.8,1.2,0.6,1.9
104,1.8,1.8,1.6,1.7,1.9,2.0,2.4,1.8,0.6,1.0,1.0,0.8,1.3,1.7,1.4,1.9,1.3,1.3,1.5,1.6,1.4,2.5,2.7,1.7,2.9,1.5,1.3,1.5,2.2,1.3,1.1,1.4,1.0,1.8
105,1.9,2.0,2.0,1.9,2.0,2.0,2.4,2.0,1.0,1.1,1.1,1.0,1.3,1.5,1.1,1.8,1.1,2.0,2.3,2.1,2.9,2.7,2.7,1.3,2.9,2.1,1.3,2.3,1.7,1.3,2.2,1.1,0.6,1.7
106,1.8,1.8,1.8,1.6,2.0,1.9,2.3,2.3,1.0,1.0,1.1,0.9,1.3,1.3,1.3,1.5,1.0,2.4,1.7,1.4,2.7,2.4,2.6,1.4,2.8,2.0,0.9,2.2,1.7,1.7,3.8,1.4,1.1,1.7
107,1.9,2.0,2.1,1.7,1.9,2.0,2.6,2.1,1.0,1.1,1.3,1.1,1.6,1.5,1.2,1.7,1.2,1.3,2.3,2.4,2.0,2.6,2.5,1.3,2.8,2.1,1.5,2.2,2.1,1.5,3.2,1.3,0.9,1.7
108,1.9,2.0,1.7,1.9,2.1,2.2,2.7,2.2,0.8,1.3,1.6,1.3,1.9,1.7,1.5,2.0,0.8,2.0,1.8,1.9,1.5,2.5,2.7,1.7,2.9,2.0,1.0,2.1,2.3,1.4,2.4,1.3,0.8,1.9
109,2.1,2.2,2.1,2.2,2.1,2.3,2.6,2.2,1.2,1.0,1.3,1.1,1.5,1.8,1.3,2.3,1.1,3.0,2.2,2.4,1.5,2.7,3.0,0.9,3.4,2.1,1.2,2.3,2.8,1.8,5.0,1.3,0.9,1.8
110,2.0,2.1,1.9,2.0,2.1,2.3,2.6,2.2,1.9,1.3,1.4,1.4,1.4,1.9,1.3,2.3,1.2,2.7,1.9,2.0,1.7,2.5,2.6,2.0,2.7,2.0,1.4,2.1,2.9,1.5,4.0,1.1,0.7,1.6
111,2.0,2.1,1.7,1.9,2.1,2.4,2.4,2.3,1.7,1.5,1.4,1.3,1.4,2.0,1.7,2.3,1.2,1.9,2.1,2.5,0.9,2.3,2.6,2.7,2.6,1.8,1.5,1.9,2.5,1.8,4.9,1.3,0.9,1.8
112,2.4,2.3,2.5,2.0,2.3,2.6,2.7,2.3,2.4,1.5,1.5,1.5,1.5,1.8,1.5,2.0,1.4,2.6,2.8,3.2,1.7,3.0,2.5,1.8,2.6,2.1,1.4,2.3,3.6,2.7,11.1,1.3,0.8,1.7
113,2.2,2.4,2.8,2.0,2.2,2.7,2.9,2.6,2.4,1.4,1.6,1.7,1.4,1.9,1.9,2.2,1.2,2.9,2.7,3.0,1.8,3.5,2.5,2.2,2.5,2.3,2.6,2.3,2.2,1.6,4.0,1.2,0.9,1.6
114,2.1,2.3,2.1,1.9,2.3,2.7,2.9,2.5,2.0,1.3,1.7,1.8,1.6,1.9,1.5,2.1,1.6,2.1,2.5,2.7,1.9,3.4,2.3,1.7,2.4,2.5,3.1,2.3,2.0,1.3,2.7,1.1,0.8,1.4
115,2.3,2.5,2.5,2.0,2.4,3.2,3.1,3.2,1.6,1.8,1.8,2.0,1.7,1.9,1.5,2.2,1.5,3.5,2.6,3.0,1.5,3.6,2.6,2.1,2.7,2.4,2.0,2.5,2.9,1.4,2.7,1.2,0.8,1.7
116,2.2,2.4,2.4,2.1,2.4,2.8,2.9,2.8,2.1,0.9,1.6,1.8,1.2,1.8,1.6,1.9,1.6,3.0,3.0,2.9,3.1,3.7,2.4,1.7,2.5,2.7,2.3,2.8,2.6,1.5,3.3,1.2,0.7,1.8
117,2.2,2.3,2.0,2.0,2.3,3.0,3.0,2.6,2.2,1.4,1.6,1.8,1.3,1.7,1.6,1.7,1.9,2.3,2.8,3.3,1.4,3.6,2.5,1.6,2.7,2.4,1.7,2.5,2.1,1.5,2.9,1.3,0.6,2.0
118,2.4,2.6,2.5,2.4,2.4,3.2,3.2,2.7,2.8,1.2,1.7,1.9,1.2,2.0,1.5,2.2,1.9,2.2,2.9,3.3,1.8,3.7,3.0,2.0,3.2,3.1,1.8,3.3,2.0,1.5,2.5,1.4,0.9,2.0
119,2.4,2.6,2.6,2.3,2.5,3.0,2.9,2.8,2.9,1.6,2.0,2.3,1.4,2.0,1.8,2.2,1.4,2.7,3.2,3.6,2.0,4.0,2.7,1.9,2.8,2.4,1.5,2.5,2.4,1.5,2.5,1.3,0.8,2.0
120,2.3,2.4,2.4,2.1,2.4,2.7,2.9,2.7,2.5,0.8,1.7,1.9,1.4,2.1,1.6,2.2,2.3,2.9,2.6,3.0,1.2,3.3,2.7,1.8,2.8,2.6,2.1,2.7,1.9,1.8,3.1,1.6,0.9,2.3
121,2.3,2.5,2.5,2.1,2.5,2.9,2.9,2.8,3.9,1.2,1.9,2.0,1.7,2.2,2.2,2.4,1.8,3.1,3.0,3.4,1.8,3.1,2.6,2.2,2.7,2.7,1.8,2.9,2.1,1.5,2.1,1.4,0.9,2.0
122,2.4,2.6,2.1,2.2,2.9,3.0,2.9,2.8,2.5,0.9,1.8,1.9,1.6,2.5,2.4,2.7,2.2,2.5,2.6,2.9,1.7,3.4,2.8,2.1,2.9,2.9,2.4,2.9,2.5,1.4,2.0,1.3,0.7,2.0
123,2.4,2.6,2.4,2.1,2.9,2.9,3.0,2.8,4.3,1.2,1.8,1.9,1.6,2.2,2.0,2.3,2.2,3.9,2.6,2.8,1.8,3.6,2.9,1.8,3.1,2.9,2.1,3.0,2.0,1.4,1.8,1.4,0.8,2.0
124,2.4,2.6,2.0,2.0,2.9,3.1,3.5,3.0,3.3,1.4,1.9,2.0,1.8,2.4,1.9,2.7,2.3,3.4,3.0,3.0,2.8,3.3,2.9,2.1,3.0,2.4,2.1,2.5,1.9,1.5,1.8,1.5,1.0,2.0
125,2.4,2.6,2.2,2.1,2.8,3.0,3.3,2.9,2.2,1.9,1.8,1.9,1.6,2.5,1.6,2.9,2.4,3.8,2.5,2.6,2.0,3.3,2.8,1.5,3.0,2.3,2.0,2.4,2.0,1.3,2.1,1.2,0.7,1.8
126,2.6,2.7,2.1,2.2,3.1,3.2,3.6,3.2,1.8,1.2,1.7,2.0,1.3,2.6,2.2,3.0,1.9,3.4,2.7,2.9,2.0,3.8,3.0,2.3,3.1,3.0,4.0,2.8,2.4,1.6,2.1,1.5,1.2,1.8
127,2.7,2.9,2.5,2.4,3.1,3.4,3.6,3.1,3.3,1.5,1.9,2.1,1.6,2.6,2.2,2.9,2.4,3.8,3.3,3.1,3.9,4.3,3.0,2.0,3.2,2.6,3.7,2.5,2.3,1.5,2.4,1.3,0.8,2.0
128,2.5,2.7,2.3,2.1,2.9,3.1,3.3,3.1,2.7,1.7,1.9,2.2,1.5,2.2,1.3,2.6,2.0,3.8,2.2,2.2,2.4,3.7,3.1,2.1,3.3,2.8,2.5,2.9,1.7,1.5,1.8,1.4,0.8,2.1
129,2.8,3.0,2.7,2.3,3.2,3.6,3.8,3.3,2.9,1.5,2.1,2.3,1.7,2.4,2.5,2.6,2.0,4.2,2.3,2.4,2.0,4.8,2.9,2.2,3.1,3.1,3.3,3.1,2.8,1.8,2.2,1.7,1.0,2.5
130,2.7,2.9,2.6,2.3,3.1,3.3,3.6,3.0,2.6,1.4,1.9,2.1,1.6,2.6,2.9,2.7,2.1,4.1,2.9,3.0,2.9,3.9,3.0,1.9,3.2,3.1,3.2,3.1,2.2,1.6,2.6,1.5,1.0,2.0
131,2.6,2.8,2.3,2.5,3.1,3.2,3.3,2.9,2.8,1.5,1.9,2.1,1.5,2.9,2.3,3.3,2.3,3.4,2.2,2.4,1.9,3.7,3.0,1.9,3.3,3.1,2.7,3.2,2.1,1.6,2.1,1.5,1.0,2.1
132,2.8,3.0,3.0,2.6,3.1,3.3,3.3,3.0,3.4,1.4,2.0,2.1,1.8,2.7,2.2,2.9,2.4,4.0,2.6,3.1,1.3,4.6,3.0,1.7,3.3,3.2,2.0,3.3,2.2,1.6,2.3,1.5,1.0,2.1
133,2.8,3.1,3.6,2.7,3.1,3.3,3.4,2.8,2.9,1.6,2.1,2.4,1.6,2.6,2.6,2.7,2.3,3.2,3.1,2.7,4.4,5.1,3.2,1.6,3.5,3.2,3.6,3.2,2.1,1.6,2.3,1.5,1.0,2.0
134,2.6,2.8,2.6,2.4,3.0,3.2,3.3,2.7,3.0,1.2,2.0,2.2,1.7,2.5,2.3,2.6,2.5,3.4,2.4,2.3,2.7,4.0,3.2,1.9,3.4,2.7,2.9,2.7,2.5,1.8,2.5,1.7,1.0,2.4
135,2.9,3.1,2.7,3.0,3.3,3.3,3.3,2.7,2.3,1.6,2.6,2.5,2.7,2.7,2.2,2.9,2.5,3.6,3.1,3.2,2.6,4.5,3.2,2.0,3.5,3.2,2.4,3.3,2.4,1.8,2.7,1.6,1.1,2.3
136,2.8,3.0,2.7,2.7,3.0,3.6,3.4,2.7,1.9,2.0,2.0,2.0,2.1,2.4,2.5,2.5,2.1,3.7,2.6,3.0,1.6,4.1,3.2,1.8,3.4,3.4,3.8,3.3,3.0,1.6,2.7,1.5,1.0,2.1
137,2.8,3.0,2.6,2.7,3.0,3.6,3.4,2.8,2.5,1.6,2.5,2.7,2.1,2.4,2.5,2.4,2.2,3.0,2.8,2.8,2.8,4.0,3.4,2.0,3.6,3.2,3.2,3.2,2.9,1.8,2.3,1.7,1.1,2.4
138,2.8,3.0,2.6,2.9,3.0,3.7,3.6,2.8,2.2,1.1,2.5,2.5,2.5,2.4,2.6,2.5,2.1,3.8,2.9,3.0,2.6,4.1,3.5,1.8,3.9,3.4,3.6,3.4,2.7,1.7,2.7,1.6,1.1,2.2
139,2.7,2.9,1.9,2.8,3.0,3.6,3.4,2.8,1.6,1.5,2.1,2.2,1.9,2.6,2.6,2.7,2.0,2.7,2.9,2.8,3.1,3.9,3.2,2.5,3.3,3.4,3.2,3.5,2.0,1.7,2.2,1.6,1.2,2.1
140,2.8,2.9,2.5,2.7,3.0,3.4,3.3,2.7,2.0,2.0,2.2,2.0,2.4,2.8,2.5,3.2,2.3,3.3,3.2,3.4,2.5,3.9,3.1,1.9,3.3,3.0,2.9,3.0,1.5,1.9,3.2,1.7,1.2,2.2
141,2.8,3.0,2.6,2.9,3.0,3.5,3.4,2.7,1.7,1.6,2.0,1.8,2.3,2.9,2.7,3.2,2.4,3.4,3.7,3.5,4.3,3.7,3.3,2.0,3.6,3.0,2.7,3.0,2.5,1.7,2.5,1.6,1.1,2.1
142,2.7,2.9,2.5,2.7,3.0,3.5,3.2,2.7,1.5,1.8,2.2,2.1,2.3,2.1,2.7,2.0,1.7,3.1,3.2,3.3,2.8,4.0,3.3,1.8,3.5,3.4,2.7,3.5,3.1,1.7,2.4,1.6,0.9,2.4
143,2.8,3.0,2.7,2.7,3.3,3.3,3.2,2.7,2.0,1.7,2.1,2.1,2.0,2.6,2.3,3.0,1.7,3.7,3.1,3.1,3.0,4.0,3.4,2.0,3.7,3.5,2.8,3.6,2.3,1.6,1.9,1.6,1.0,2.2
144,2.9,3.1,2.2,2.9,3.3,3.3,3.5,2.8,2.0,2.2,2.0,2.1,1.9,3.0,2.4,3.3,3.0,3.1,3.3,3.1,3.9,3.7,3.3,1.9,3.5,3.3,3.2,3.3,2.2,1.8,2.6,1.7,1.2,2.4
145,2.8,3.0,2.4,2.8,3.2,3.2,3.2,2.6,2.1,2.1,2.1,2.0,2.1,2.8,2.3,3.1,2.6,2.8,2.8,2.4,4.1,4.1,2.9,2.0,3.1,3.2,2.7,3.3,2.7,2.0,3.1,1.9,1.1,2.8
146,2.9,3.1,2.9,2.9,3.1,3.2,3.2,3.0,3.1,2.3,2.3,2.3,2.3,2.5,1.9,2.6,2.6,3.8,3.7,4.0,2.7,4.0,3.2,1.8,3.5,3.6,2.5,3.7,2.0,1.9,2.3,1.8,1.4,2.4
147,2.9,3.1,3.0,3.0,3.1,3.3,3.4,3.1,1.8,2.0,2.1,2.3,1.8,2.8,2.7,3.1,2.1,3.5,3.9,4.4,2.7,3.9,3.3,2.2,3.5,3.5,3.0,3.6,2.8,1.8,2.0,1.7,1.2,2.4
148,2.9,3.0,2.6,2.9,3.2,3.3,3.3,2.9,2.2,1.9,2.0,2.0,1.9,3.0,2.2,3.4,2.6,2.4,3.1,3.4,2.4,4.0,3.3,2.1,3.5,3.3,2.3,3.4,2.2,1.9,2.7,1.8,1.1,2.5
149,3.0,3.2,2.3,3.3,3.3,3.4,3.4,3.1,2.2,2.0,2.0,2.0,2.1,3.1,2.3,3.6,2.5,3.6,3.8,3.6,4.2,4.1,3.2,2.0,3.4,3.2,2.3,3.4,3.1,1.8,1.7,1.9,1.3,2.5
150,3.0,3.2,2.6,2.9,3.5,3.4,3.5,3.0,2.3,2.2,1.8,1.8,1.7,3.4,1.9,4.0,2.9,3.7,3.8,4.0,2.9,3.9,3.1,2.0,3.4,3.3,2.5,3.5,2.7,1.8,1.8,1.8,1.2,2.5
151,2.8,3.0,2.7,2.7,3.1,3.3,3.3,3.0,2.6,1.7,1.8,1.6,2.2,2.7,2.2,3.1,2.2,3.7,4.1,4.7,2.1,3.6,3.0,2.1,3.1,3.4,2.5,3.5,2.7,1.7,1.9,1.7,1.1,2.4
152,2.9,3.1,2.5,3.0,3.1,3.5,3.6,3.3,2.7,1.9,2.3,2.5,2.0,2.9,2.3,3.1,2.8,2.6,3.0,3.0,2.9,4.2,3.4,2.1,3.7,3.5,4.4,3.4,1.8,1.8,1.5,1.8,1.3,2.3
153,2.9,3.1,3.0,3.0,3.1,3.4,3.4,3.2,2.1,2.1,2.2,2.3,2.0,3.0,2.4,3.4,2.7,3.6,3.1,3.5,2.0,3.9,3.1,2.0,3.3,3.7,3.2,3.8,3.1,1.8,1.9,1.8,1.2,2.4
154,3.0,3.2,2.9,3.1,3.4,3.3,3.5,3.1,2.4,2.3,2.4,2.3,2.5,2.9,1.8,3.4,2.7,4.4,3.2,3.7,1.7,4.2,3.1,2.2,3.3,3.6,4.2,3.5,3.0,1.8,1.7,1.8,1.2,2.4
155,2.9,3.1,2.4,2.9,3.4,3.4,3.6,3.1,2.0,2.5,2.6,2.2,3.1,3.0,2.6,3.2,2.6,4.0,2.6,2.8,2.2,3.8,3.0,2.4,3.1,3.6,3.8,3.6,2.6,1.8,2.1,1.8,1.3,2.3
156,2.9,3.2,3.2,2.9,3.2,3.4,3.4,3.2,2.6,2.0,2.4,2.3,2.5,3.1,2.8,3.3,2.6,4.0,3.0,3.1,2.6,4.0,2.8,2.3,2.9,3.9,3.8,3.9,3.2,1.6,1.6,1.6,1.1,2.1
157,2.9,3.1,3.0,2.7,3.4,3.6,3.3,3.1,2.7,2.5,2.1,2.2,2.0,3.0,2.2,3.3,3.0,3.9,2.6,2.7,2.2,3.6,3.2,2.1,3.4,4.0,4.2,3.9,2.6,1.7,1.8,1.7,1.1,2.5
158,3.1,3.3,3.0,2.9,3.7,3.6,3.5,3.2,2.9,2.3,2.3,2.1,2.7,3.3,2.2,4.0,2.2,3.8,3.0,3.3,2.4,4.3,3.3,2.1,3.6,3.7,3.4,3.8,2.6,1.8,1.9,1.8,1.1,2.5
159,3.1,3.3,2.9,3.0,3.5,3.7,3.5,3.3,3.8,2.0,2.3,2.0,2.7,3.5,2.3,4.2,2.7,3.7,3.2,3.5,2.4,3.9,3.4,2.3,3.7,3.8,2.5,4.0,1.9,1.9,2.2,1.9,1.3,2.5
160,3.2,3.4,2.4,3.2,3.8,4.0,3.8,3.4,2.7,1.9,2.2,2.2,2.2,3.5,2.6,4.1,2.9,4.0,3.3,3.6,2.5,4.2,3.3,2.3,3.5,4.3,4.2,4.4,2.6,2.0,2.1,1.9,1.3,2.6
161,3.3,3.6,3.4,3.3,3.7,3.9,3.9,3.2,3.5,1.9,2.4,2.2,2.6,3.4,2.7,3.9,2.9,4.0,3.5,3.8,2.5,4.3,3.7,2.4,3.9,4.6,4.1,4.7,2.5,2.0,2.5,1.9,1.2,2.7
162,3.5,3.7,3.5,3.2,4.0,4.0,4.1,3.4,3.3,2.5,2.5,2.4,2.8,3.5,2.7,4.0,3.0,3.6,4.2,4.5,3.2,4.6,3.8,3.1,3.9,4.4,3.5,4.5,2.2,2.3,2.4,2.3,1.7,3.0
163,3.4,3.6,3.2,3.1,3.9,4.0,4.1,3.6,3.3,2.4,2.4,2.4,2.3,3.4,2.6,3.8,3.4,4.0,3.6,3.8,2.8,4.5,3.9,2.4,4.2,4.1,3.0,4.3,2.5,2.1,2.2,2.1,1.4,2.9
164,3.7,4.0,3.7,3.8,4.2,4.2,4.4,3.3,3.5,2.0,2.6,2.4,2.9,4.3,2.6,5.2,3.4,3.9,4.1,4.6,2.7,4.8,4.1,2.6,4.4,4.6,3.8,4.7,3.4,2.0,2.7,1.9,0.9,2.9
165,3.4,3.6,2.9,3.3,4.1,3.9,3.9,3.5,3.2,1.8,2.5,2.3,2.7,3.4,2.4,3.7,3.5,3.6,3.4,3.4,3.2,4.7,3.9,3.0,4.1,4.6,3.5,4.8,2.7,2.1,2.6,2.0,1.6,2.6
166,3.5,3.7,3.3,3.5,3.9,4.0,4.3,3.8,3.7,2.3,2.3,2.4,2.3,3.4,2.5,3.7,3.6,3.0,4.4,4.9,3.0,4.7,4.0,2.5,4.2,4.3,3.0,4.5,3.1,1.9,2.6,1.8,1.3,2.5
167,3.3,3.6,3.2,3.4,3.7,3.7,4.0,3.4,3.3,2.2,2.6,2.5,2.7,3.2,2.8,3.2,3.7,4.4,3.5,3.8,2.7,4.8,3.6,2.5,3.8,4.1,2.7,4.3,3.1,2.1,2.8,2.0,1.3,2.8
168,3.5,3.8,3.8,3.5,3.8,3.8,4.2,3.6,2.2,2.2,2.4,2.4,2.5,3.3,2.7,3.4,3.7,3.8,3.4,3.7,2.5,5.1,4.2,2.7,4.4,4.5,3.9,4.6,2.9,2.2,2.7,2.2,1.3,3.2
