,Accounting,Administrative Assistance,Architecture,Arts & Entertainment,Banking & Finance,Childcare,Civil Engineering,Cleaning & Sanitation,Community & Social Service,Construction,Customer Service,Data & Analytics,Dental,Driving,Education & Instruction,Electrical Engineering,Food Preparation & Service,Headline,Hospitality & Tourism,Human Resources,"IT Infrastructure, Operations & Support",IT Systems & Solutions,Industrial Engineering,Installation & Maintenance,Legal,Loading & Stocking,Logistic Support,Management,Marketing,Media & Communications,Medical Information,Medical Technician,Nursing,Personal Care & Home Health,Pharmacy,Physicians & Surgeons,Production & Manufacturing,Project Management,Retail,Sales,Scientific Research & Development,Security & Public Safety,Software Development,Sports,Therapy,Veterinary
Nursing,0.9526494134003882,0.9553978266656146,0.9358163836149277,0.8765256783566144,0.8357107653099877,0.9284920532189274,0.7976276671249791,0.8826483268163973,0.9555286164579925,0.8479086349000209,0.8149936933118928,0.7297895106057728,0.8295342422171442,0.8514531314280939,0.8546635170020019,0.9532641058623078,0.9250981990040925,0.9637709371867096,0.9199194864501652,0.8135314998747525,0.8067908872779564,0.7602054583828436,0.9103443452408361,0.9557625058275053,0.9449062367942389,0.770698847079689,0.9272600419458654,0.9499922133286262,0.7434079819576767,0.8045528185059937,0.9318812148420703,0.9899475149410516,1.0,0.9499160404461354,0.9288513988901058,0.7927879223913243,0.9180454930843596,0.9315168324458242,0.8970894514326347,0.8638062921555889,0.871316666548537,0.9458797422044737,0.6758570127740348,0.7469236353429306,0.7977516530991944,0.9050781420090961
Personal Care & Home Health,0.8655252525194312,0.9075890320996558,0.880602286888816,0.7985856134997016,0.7196418824629641,0.9639383009759193,0.8421207513630954,0.871701853588262,0.9696676752442285,0.8895928690660807,0.7723099845864614,0.5915308793804831,0.8993717166976173,0.9074180635456689,0.9017255635987268,0.9223889213560432,0.9418857964302308,0.9314269103267894,0.9217143218052889,0.7261012711615655,0.6768660623073887,0.6334105692068271,0.8047425195716102,0.9685978823442188,0.9276606289736705,0.716211182611503,0.8929250903997755,0.906833589000514,0.6510016945516081,0.7017780504232431,0.8555454284671374,0.9685793969397443,0.9499160404461354,1.0,0.9013346163906293,0.8526643200638319,0.8765821862676676,0.8696739933152502,0.8736906978566296,0.816152514388807,0.7657091670742754,0.9397827706570652,0.5364279155750354,0.8352714628847054,0.8906708928349667,0.9522585390461377
Pharmacy,0.9024109471443862,0.8772006116639919,0.8411821195700262,0.8001244975448109,0.7362661041495541,0.8714382315059043,0.782162260840113,0.7920722354281802,0.8787213509162352,0.7676470861036606,0.7547089769518757,0.6250108299121081,0.7861333186245624,0.850014798006788,0.7699226052590543,0.8935213376005328,0.8689184718127894,0.8918930139720218,0.8316102537738896,0.7239106932995634,0.7019367853404855,0.6578141700288004,0.8182674692480129,0.8837651913698673,0.8650912890300946,0.7067536991026343,0.8579646370202029,0.8809828221350655,0.6582829822903242,0.7134453879606539,0.8560261473833626,0.9278299281689747,0.9288513988901058,0.9013346163906293,1.0,0.7717379476107572,0.8395854168714524,0.843832103848229,0.8782123789913259,0.7876113870148462,0.7745751610442818,0.8477223795840313,0.5732330743234172,0.7154723791903382,0.7771151247688445,0.8470114475931297
Physicians & Surgeons,0.6997893219187266,0.662531481112018,0.7712855824045767,0.5495976675719725,0.4482948471699167,0.8536831793091452,0.9818943369349833,0.5546591303119559,0.8628435297988403,0.6575999817718858,0.40161260512067487,0.28012266416183546,0.8654468199028099,0.8216595277652066,0.9290025269890931,0.8897360977156522,0.7448010146283821,0.7171851256113073,0.7807378270918117,0.417714309918374,0.37971461499042664,0.3429474414748626,0.5841390499345117,0.8123634554405031,0.7951444131754698,0.3135531891802648,0.6704422690241232,0.7047161080637212,0.2997185857101963,0.39590808839657354,0.5612176949601508,0.8414523666788685,0.7927879223913243,0.8526643200638319,0.7717379476107572,1.0,0.5653197712215348,0.6950124022002144,0.6055427705850331,0.5210313053953449,0.4505520078211018,0.7365851177275707,0.2095507984986833,0.970256598130086,0.9817368424820008,0.815527430644494
Production & Manufacturing,0.9019615430979768,0.9750899473841169,0.8822674748222995,0.9417738752571182,0.9189189907225126,0.8629007736436122,0.5644441502997963,0.9837839469341759,0.8828331849546434,0.9094056961087719,0.9648803232630309,0.8576507009642718,0.7256036674891688,0.7691423033177077,0.7234549123114349,0.8298630522051018,0.9401997384595596,0.9712719251861086,0.9017064651150072,0.923887613022741,0.9079015688588208,0.8712046604726232,0.9347622208593624,0.9214639380889479,0.9153614997751011,0.9434946507295343,0.9505377489092532,0.9579691776530455,0.8979042181117892,0.9187840955053574,0.97612519420608,0.8985892362868512,0.9180454930843596,0.8765821862676676,0.8395854168714524,0.5653197712215348,1.0,0.9313166324342806,0.9450596094711867,0.9661111039070167,0.9533473719408196,0.9508114753977827,0.8260241918148843,0.5654325182519977,0.6109537816071926,0.8631914395307262
Project Management,0.9504881712467657,0.976870524733513,0.9742447951348526,0.9745500736131141,0.9447733740935065,0.8623219960005933,0.6998965049327572,0.8969885753196252,0.9261192880371488,0.8062035398757159,0.8731350591046666,0.8794109477360158,0.691792487446853,0.7360155138179086,0.8252044552055119,0.9217799766106843,0.9175179963797789,0.9747941455701422,0.9305467197917532,0.933725027783874,0.9219061234438156,0.9080636971619703,0.9803387525283425,0.9003354110319617,0.978863838217379,0.8159492834695877,0.9781790998466509,0.9839995010088394,0.8800884521547917,0.9315438214759693,0.9408649255408821,0.9317019991727489,0.9315168324458242,0.8696739933152502,0.843832103848229,0.6950124022002144,0.9313166324342806,1.0,0.879022972063537,0.9348127062094999,0.9415015896565635,0.9549785369615922,0.8397090792906416,0.6867442220294354,0.69836300540441,0.8277881578414129
Retail,0.8899576214756827,0.9359996240847032,0.830020802735474,0.8925157922155523,0.8508687202340157,0.8796078150946366,0.6028414595636141,0.9406509786265765,0.8547127291199311,0.8717760486014695,0.9352605055531723,0.7655031830702534,0.7595187546458367,0.8278093767636393,0.7023699335105714,0.8196990066013411,0.9477783468377182,0.9483444264590754,0.8809243691262231,0.8525684610622701,0.829914143378508,0.7856779623112065,0.8683711795318655,0.9135444531807503,0.881844318952944,0.9130744732148025,0.9192280597361607,0.9365099197774385,0.8152399963131942,0.8474281047038931,0.9358581538918861,0.8922618878189668,0.8970894514326347,0.8736906978566296,0.8782123789913259,0.6055427705850331,0.9450596094711867,0.879022972063537,1.0,0.9256490425553896,0.8732604516050628,0.9119841501644866,0.7276350147284941,0.606619092617911,0.657070061714068,0.8801772816352111
Sales,0.8746551932084242,0.9613016565965753,0.8810735946982966,0.9697900001203775,0.9404521342904415,0.8285764327941366,0.5167621121484943,0.95601766713211,0.8530864803694298,0.8529265703102183,0.973716747235216,0.8883941394899877,0.6620655648276635,0.6957007894487157,0.6993333834358123,0.7914782532801874,0.9246387257184548,0.9555017184062823,0.9020088054580621,0.9461663741024129,0.9227154425389047,0.9031480776261186,0.9270082145046447,0.8783807390782697,0.916559985007412,0.9233052772849717,0.9484065604668104,0.9550587688059957,0.938882804152688,0.9500903885047873,0.9558877449079951,0.8584743621860691,0.8638062921555889,0.816152514388807,0.7876113870148462,0.5210313053953449,0.9661111039070167,0.9348127062094999,0.9256490425553896,1.0,0.9514208744190408,0.9195704028993056,0.8584489389628788,0.5516786513890136,0.5753025286207392,0.8072367136865777
Scientific Research & Development,0.9098088753893383,0.9563058545497518,0.878922508094591,0.9717025519523236,0.9808814377731864,0.7419210389567152,0.46398651745737757,0.910152308959656,0.8047008307824114,0.7608762627338037,0.9392495105877583,0.9614345470588076,0.5427077678733814,0.6185779034549,0.628488201934868,0.7792402368399232,0.8439329710067245,0.9285757157112945,0.8300010729251476,0.9795811460767431,0.9801373292989001,0.9674300989885608,0.9730956404676672,0.810333860743926,0.8791656373588522,0.9168076406435243,0.9398303138996957,0.9353969885480474,0.964722596793777,0.9824527859354167,0.969245415489675,0.8402981161866878,0.871316666548537,0.7657091670742754,0.7745751610442818,0.4505520078211018,0.9533473719408196,0.9415015896565635,0.8732604516050628,0.9514208744190408,1.0,0.8912934871184762,0.9397511894301708,0.4312323354929054,0.46724095834881313,0.7229454800454065
Security & Public Safety,0.899361831653949,0.9689303163409636,0.9401910715620497,0.9150125450146794,0.8656556761541193,0.9305242494069742,0.7342626532876888,0.9525085863315186,0.9628147242388942,0.9128447468338273,0.8780402284920166,0.7775316197911237,0.8174885410637512,0.8308208526253835,0.8715515953953098,0.9192611962662525,0.9701389532371184,0.9812231761385153,0.96415568788288,0.87095399018275,0.8457386936087002,0.8103164863362262,0.9197711539199585,0.962756594979677,0.9671682374634434,0.8296097823429395,0.9586689808739849,0.9690114489342879,0.8093404054702442,0.8602248663229577,0.9289651920116611,0.9488068742746477,0.9458797422044737,0.9397827706570652,0.8477223795840313,0.7365851177275707,0.9508114753977827,0.9549785369615922,0.9119841501644866,0.9195704028993056,0.8912934871184762,1.0,0.734622279019016,0.7378374555751801,0.7688284323934965,0.9164435096260093
Software Development,0.7796253694869658,0.8217638240478771,0.7333894525832101,0.9010313853725007,0.9571896643148378,0.5077963518192228,0.21433414612174606,0.7739768698537504,0.5957931485880984,0.5638822671129211,0.858529745399554,0.9943814063871576,0.2708958467223594,0.37645729593231086,0.41255032731157043,0.5846925318551492,0.6617860783982695,0.7790321901434455,0.6475117130037991,0.9610456806052063,0.9672105176655031,0.9877051702462412,0.8968148910253646,0.5969331592517882,0.7331571346267141,0.8638969731502959,0.8294339751029725,0.8066206230333685,0.9657713091631179,0.9645607205868791,0.85294386843749,0.6412358801911663,0.6758570127740348,0.5364279155750354,0.5732330743234172,0.2095507984986833,0.8260241918148843,0.8397090792906416,0.7276350147284941,0.8584489389628788,0.9397511894301708,0.734622279019016,1.0,0.19645796495567236,0.21016770993461437,0.5030708111991504
Sports,0.6517378247331282,0.6549769099608322,0.7666221296070607,0.5565326096384692,0.43734416467587406,0.8647391919500055,0.951591992524071,0.5799253297251749,0.8646172396802968,0.6917036754845108,0.4295431390276968,0.2704669491296172,0.8694982314278844,0.7858254139810863,0.9432944795876741,0.8608769121701962,0.768944627212832,0.712870272114851,0.8098854284237559,0.41230106342457346,0.3739011240411904,0.3319250361591954,0.5613840151975256,0.8164958482795842,0.7977441981831266,0.3213239093653675,0.6590474564744132,0.6978134068112134,0.3086858135463153,0.3995552859437129,0.5457389266134718,0.8082893616897213,0.7469236353429306,0.8352714628847054,0.7154723791903382,0.970256598130086,0.5654325182519977,0.6867442220294354,0.606619092617911,0.5516786513890136,0.4312323354929054,0.7378374555751801,0.19645796495567236,1.0,0.9814262573744653,0.8187509797178951
Therapy,0.6869642229480911,0.6901777862124658,0.766776630894752,0.5712053313588887,0.45356915700658373,0.8950171886606093,0.9591775641157815,0.6179045293192045,0.888458869351085,0.7251953322491831,0.47019381905207386,0.28089637665784195,0.9056269123765127,0.8521485869298525,0.9400262237354376,0.8739689195715846,0.7989709694578592,0.7465370389652065,0.8208176712693814,0.43903164163323954,0.38465577654495425,0.34311687905078025,0.5768385666013521,0.851121830349743,0.8132164387951301,0.37491292272614674,0.6933376667394121,0.7263267059826671,0.3357762487567314,0.416807390578631,0.5908781149606389,0.852775572166392,0.7977516530991944,0.8906708928349667,0.7771151247688445,0.9817368424820008,0.6109537816071926,0.69836300540441,0.657070061714068,0.5753025286207392,0.46724095834881313,0.7688284323934965,0.21016770993461437,0.9814262573744653,1.0,0.8578290806674052
Veterinary,0.8321465416143305,0.8749139497987899,0.8397489201375921,0.7634672987900679,0.6984526874598606,0.9655641503367195,0.7976294747499383,0.881300205103118,0.9252551196687002,0.9259656536194201,0.7696257990413727,0.5602599666409254,0.9477610962766501,0.8996703120860394,0.8645554661161773,0.8879306317949194,0.9404437159640259,0.9080624991957091,0.9029551815142002,0.6813179143621678,0.6548189460280582,0.5975593417040161,0.7693425729011623,0.9725338331499134,0.8929810905858586,0.7345372155152997,0.8474500721134604,0.877819152460879,0.6099556489257206,0.6677526495122734,0.832510652869063,0.9262965878035637,0.9050781420090961,0.9522585390461377,0.8470114475931297,0.815527430644494,0.8631914395307262,0.8277881578414129,0.8801772816352111,0.8072367136865777,0.7229454800454065,0.9164435096260093,0.5030708111991504,0.8187509797178951,0.8578290806674052,1.0
